meldcode;fabrikant;model;vermogen_kw;naam_koudemiddel;gwp;categorie;subsidiebedrag_2024;subsidiebedrag_2025;bron_2024_url;bron_2025_url;confidence_2024;confidence_2025;match_methode;datum_opgehaald
KA17841;Viessmann;Vitocal 060-A 254L TOE;0.0;R1234ze;7;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17841-viessmann-vitocal-060-254l-toe;https://www.rvo.nl/meldcodes-warmtepompen/ka17841-viessmann-vitocal-060-254l-toe;0.95;0.95;meldcode;2026-03-27
KA17842;Mitsubishi Electric;PUHZ-SHW80 YAA + ERST30C-VM2D;9.0;R410A;2088;Lucht-Water;3300.0;3050.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17842-mitsubishi-electric-puhz-shw80-yaa-erst30c-vm2d;https://www.rvo.nl/meldcodes-warmtepompen/ka17842-mitsubishi-electric-puhz-shw80-yaa-erst30c-vm2d;0.95;0.95;meldcode;2026-03-27
KA17843;ARTEL;DHWHP300;0.0;R134A;1430;Warmtepompboiler;500.0;500.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17843-artel-dhwhp300;https://www.rvo.nl/meldcodes-warmtepompen/ka17843-artel-dhwhp300;0.95;0.95;meldcode;2026-03-27
KA17846;Mitsubishi Electric;PUZ-WM85YAA + ERPT20X-VM2(D/E);8.0;R032;675;Lucht-Water;3375.0;3025.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17846-mitsubishi-electric-puz-wm85yaa-erpt20x-vm2de;https://www.rvo.nl/meldcodes-warmtepompen/ka17846-mitsubishi-electric-puz-wm85yaa-erpt20x-vm2de;0.95;0.95;meldcode;2026-03-27
KA17851;Ferroli;EGEA 200 LT;0.0;R134A;1430;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17851-ferroli-egea-200-lt;https://www.rvo.nl/meldcodes-warmtepompen/ka17851-ferroli-egea-200-lt;0.95;0.95;meldcode;2026-03-27
KA17855;Atlantic;ALFEA EXTENSA DUO A.I. 5 R32;4.0;R032;675;Lucht-Water;2775.0;2125.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17855-atlantic-alfea-extensa-duo-ai-5-r32;https://www.rvo.nl/meldcodes-warmtepompen/ka17855-atlantic-alfea-extensa-duo-ai-5-r32;0.95;0.95;meldcode;2026-03-27
KA17856;Viessmann;Vitocal 200-G BWC201.B13;13.0;R410A;2088;Grond-Water;4875.0;4875.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17856-viessmann-vitocal-200-g-bwc201b13;https://www.rvo.nl/meldcodes-warmtepompen/ka17856-viessmann-vitocal-200-g-bwc201b13;0.95;0.95;meldcode;2026-03-27
KA17865;Ferroli;EGEA 90 LT;0.0;R290 (Propaan);3;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17865-ferroli-egea-90-lt;https://www.rvo.nl/meldcodes-warmtepompen/ka17865-ferroli-egea-90-lt;0.95;0.95;meldcode;2026-03-27
KA17867;Atlantic;ALFEA EXTENSA DUO A.I. 8 R32;6.0;R032;675;Lucht-Water;3075.0;2575.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17867-atlantic-alfea-extensa-duo-ai-8-r32;https://www.rvo.nl/meldcodes-warmtepompen/ka17867-atlantic-alfea-extensa-duo-ai-8-r32;0.95;0.95;meldcode;2026-03-27
KA17879;Ferroli;EGEA 200 LT-S;0.0;R134A;1430;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17879-ferroli-egea-200-lt-s;https://www.rvo.nl/meldcodes-warmtepompen/ka17879-ferroli-egea-200-lt-s;0.95;0.95;meldcode;2026-03-27
KA17887;Atlantic;AUREA 5 R32 HYBRID ADD-ON;4.0;R032;675;Lucht-Water;2775.0;2125.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17887-atlantic-aurea-5-r32-hybrid-add;https://www.rvo.nl/meldcodes-warmtepompen/ka17887-atlantic-aurea-5-r32-hybrid-add;0.95;0.95;meldcode;2026-03-27
